Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
74,14,9,136,9,Some Random Commen with Id 74
75,14,9,198,4,Some Random Commen with Id 75
76,16,9,66,4,Some Random Commen with Id 76
77,16,9,17,8,Some Random Commen with Id 77
78,16,9,123,1,Some Random Commen with Id 78
79,16,9,110,2,Some Random Commen with Id 79
80,16,9,182,9,Some Random Commen with Id 80
81,16,9,166,8,Some Random Commen with Id 81
82,16,9,61,0,Some Random Commen with Id 82
83,16,9,35,3,Some Random Commen with Id 83
84,16,9,33,3,Some Random Commen with Id 84
85,17,2,139,0,Some Random Commen with Id 85
86,17,2,198,0,Some Random Commen with Id 86
87,17,2,116,1,Some Random Commen with Id 87
88,18,6,194,3,Some Random Commen with Id 88
89,18,6,180,9,Some Random Commen with Id 89
90,18,6,159,8,Some Random Commen with Id 90
91,18,6,43,0,Some Random Commen with Id 91
92,18,6,159,0,Some Random Commen with Id 92
93,18,6,148,3,Some Random Commen with Id 93
94,19,0,181,3,Some Random Commen with Id 94
95,19,0,147,2,Some Random Commen with Id 95
96,19,0,175,9,Some Random Commen with Id 96
97,19,0,149,4,Some Random Commen with Id 97
98,19,0,122,1,Some Random Commen with Id 98
99,19,0,41,3,Some Random Commen with Id 99
100,19,0,175,9,Some Random Commen with Id 100
101,19,0,69,4,Some Random Commen with Id 101
102,19,0,162,5,Some Random Commen with Id 102
103,20,8,170,8,Some Random Commen with Id 103
104,20,8,71,2,Some Random Commen with Id 104
105,20,8,118,9,Some Random Commen with Id 105
106,20,8,4,8,Some Random Commen with Id 106
107,20,8,101,4,Some Random Commen with Id 107
108,20,8,125,7,Some Random Commen with Id 108
109,20,8,162,6,Some Random Commen with Id 109
110,22,7,77,4,Some Random Commen with Id 110
111,22,7,100,7,Some Random Commen with Id 111
112,22,7,9,9,Some Random Commen with Id 112
113,22,7,133,6,Some Random Commen with Id 113
114,22,7,191,1,Some Random Commen with Id 114
115,22,7,92,1,Some Random Commen with Id 115
116,22,7,14,7,Some Random Commen with Id 116
117,22,7,120,1,Some Random Commen with Id 117
118,23,2,100,0,Some Random Commen with Id 118
119,23,2,93,6,Some Random Commen with Id 119
120,23,2,148,0,Some Random Commen with Id 120
121,23,2,39,7,Some Random Commen with Id 121
122,23,2,56,8,Some Random Commen with Id 122
123,23,2,132,0,Some Random Commen with Id 123
124,23,2,170,9,Some Random Commen with Id 124
125,23,2,13,4,Some Random Commen with Id 125
126,23,2,60,7,Some Random Commen with Id 126
127,24,0,163,4,Some Random Commen with Id 127
128,24,0,102,7,Some Random Commen with Id 128
129,24,0,106,5,Some Random Commen with Id 129
130,24,0,60,7,Some Random Commen with Id 130
131,24,0,189,5,Some Random Commen with Id 131
132,24,0,67,3,Some Random Commen with Id 132
133,25,1,126,6,Some Random Commen with Id 133
134,25,1,78,5,Some Random Commen with Id 134
135,25,1,0,0,Some Random Commen with Id 135
136,25,1,163,9,Some Random Commen with Id 136
137,25,1,87,4,Some Random Commen with Id 137
138,26,6,105,0,Some Random Commen with Id 138
139,26,6,63,0,Some Random Commen with Id 139
140,29,4,119,1,Some Random Commen with Id 140
141,29,4,41,9,Some Random Commen with Id 141
142,29,4,123,9,Some Random Commen with Id 142
143,29,4,96,0,Some Random Commen with Id 143
144,29,4,22,5,Some Random Commen with Id 144
145,29,4,36,0,Some Random Commen with Id 145
146,29,4,31,4,Some Random Commen with Id 146
147,29,4,3,6,Some Random Commen with Id 147
148,30,5,3,3,Some Random Commen with Id 148
149,30,5,187,6,Some Random Commen with Id 149
150,30,5,76,9,Some Random Commen with Id 150
151,30,5,183,1,Some Random Commen with Id 151
152,30,5,89,6,Some Random Commen with Id 152
153,30,5,185,1,Some Random Commen with Id 153
154,30,5,27,6,Some Random Commen with Id 154
155,30,5,144,0,Some Random Commen with Id 155
156,31,1,175,8,Some Random Commen with Id 156
157,31,1,71,4,Some Random Commen with Id 157
158,31,1,65,5,Some Random Commen with Id 158
159,32,2,90,9,Some Random Commen with Id 159
160,32,2,70,2,Some Random Commen with Id 160
161,32,2,152,3,Some Random Commen with Id 161
162,32,2,172,4,Some Random Commen with Id 162
163,32,2,157,7,Some Random Commen with Id 163
164,32,2,196,9,Some Random Commen with Id 164
165,32,2,58,0,Some Random Commen with Id 165
166,32,2,10,0,Some Random Commen with Id 166
167,32,2,113,8,Some Random Commen with Id 167
168,33,2,79,2,Some Random Commen with Id 168
169,33,2,0,3,Some Random Commen with Id 169
170,33,2,188,9,Some Random Commen with Id 170
171,33,2,140,5,Some Random Commen with Id 171
172,33,2,96,1,Some Random Commen with Id 172
173,33,2,196,4,Some Random Commen with Id 173
174,33,2,76,5,Some Random Commen with Id 174
175,33,2,187,0,Some Random Commen with Id 175
176,34,7,47,1,Some Random Commen with Id 176
177,34,7,91,8,Some Random Commen with Id 177
178,34,7,139,4,Some Random Commen with Id 178
179,34,7,131,1,Some Random Commen with Id 179
180,34,7,91,9,Some Random Commen with Id 180
181,35,0,11,5,Some Random Commen with Id 181
182,35,0,137,2,Some Random Commen with Id 182
183,36,1,143,5,Some Random Commen with Id 183
184,37,9,80,7,Some Random Commen with Id 184
185,37,9,87,1,Some Random Commen with Id 185
186,37,9,89,5,Some Random Commen with Id 186
187,37,9,136,2,Some Random Commen with Id 187
188,37,9,106,8,Some Random Commen with Id 188
189,37,9,87,0,Some Random Commen with Id 189
190,37,9,96,4,Some Random Commen with Id 190
191,38,2,54,8,Some Random Commen with Id 191
192,38,2,165,0,Some Random Commen with Id 192
193,38,2,55,6,Some Random Commen with Id 193
194,39,6,187,4,Some Random Commen with Id 194
